Engine,Parsed,Conflict-free,Repo-consistent,Failed,Time,mc
git-merge,99,57,53,0,0.4055612087249756,100
imediff,95,72,62,0,16.766096830368042,100
jfstmerge,77,60,53,23,374.06389260292053,100
jdime,96,75,8,4,906.6727743148804,100
automergeptm,93,81,8,3,1006.414482831955,100
intellimerge,51,75,40,0,186.24663615226746,100
spork,96,86,5,4,657.1974387168884,100
mergiraf,100,82,71,0,85.58070230484009,100
mastery,97,80,61,0,318.09812808036804,100
d3j,100,86,73,0,341.7245168685913,100
repo,100,100,100,0,0.0,100
